cycle,pc,cta_id,cluster_id,warp_id,tid
5005,178,7,11,0,ffffffff
5006,178,7,11,1,ffffffff
5007,178,7,11,2,ffffffff
5008,178,7,11,5,ffffffff
5009,178,7,11,6,ffffffff
5010,178,7,11,3,ffffffff
5011,178,7,11,4,ffffffff
5012,178,7,11,7,ffffffff
5013,178,37,11,8,ffffffff
5014,178,37,11,9,ffffffff
5015,178,37,11,14,ffffffff
5016,178,67,11,16,ffffffff
5017,178,67,11,17,ffffffff
5018,178,67,11,18,ffffffff
5019,178,37,11,15,ffffffff
5020,178,67,11,20,ffffffff
5021,178,67,11,21,ffffffff
5022,178,67,11,22,ffffffff
5023,178,67,11,19,ffffffff
5024,178,97,11,24,ffffffff
5025,178,97,11,25,ffffffff
5026,178,97,11,26,ffffffff
5027,178,67,11,23,ffffffff
5028,178,97,11,28,ffffffff
5029,178,97,11,29,ffffffff
5030,178,97,11,30,ffffffff
5031,178,97,11,27,ffffffff
5032,180,7,11,0,ffffffff
5033,180,7,11,1,ffffffff
5034,180,7,11,2,ffffffff
5035,178,97,11,31,ffffffff
5036,180,7,11,4,ffffffff
5037,180,7,11,5,ffffffff
5038,180,7,11,6,ffffffff
5039,180,7,11,3,ffffffff
5040,180,37,11,8,ffffffff
5041,180,37,11,9,ffffffff
5042,180,37,11,10,ffffffff
5043,180,7,11,7,ffffffff
5044,180,37,11,12,ffffffff
5045,180,37,11,13,ffffffff
5046,180,37,11,14,ffffffff
5047,180,37,11,11,ffffffff
5048,180,67,11,16,ffffffff
5049,180,67,11,17,ffffffff
5050,180,67,11,18,ffffffff
5051,180,37,11,15,ffffffff
5052,180,67,11,20,ffffffff
5053,180,67,11,21,ffffffff
5054,180,67,11,22,ffffffff
5055,180,67,11,19,ffffffff
5056,180,97,11,24,ffffffff
5057,180,97,11,25,ffffffff
5058,180,97,11,26,ffffffff
5059,180,67,11,23,ffffffff
5060,180,97,11,28,ffffffff
5061,180,97,11,29,ffffffff
5062,180,97,11,30,ffffffff
5063,180,97,11,27,ffffffff
5064,188,7,11,0,ffffffff
5065,188,7,11,1,ffffffff
5066,188,7,11,2,ffffffff
5067,180,97,11,31,ffffffff
5068,188,7,11,4,ffffffff
5069,188,7,11,5,ffffffff
5070,188,7,11,6,ffffffff
5071,188,7,11,3,ffffffff
5072,188,37,11,8,ffffffff
5073,188,37,11,9,ffffffff
5074,188,37,11,10,ffffffff
5075,188,7,11,7,ffffffff
5076,188,37,11,12,ffffffff
5077,188,37,11,13,ffffffff
5078,188,37,11,14,ffffffff
5079,188,37,11,11,ffffffff
5080,188,67,11,16,ffffffff
5081,188,67,11,17,ffffffff
5082,188,67,11,18,ffffffff
5083,188,37,11,15,ffffffff
5084,188,67,11,20,ffffffff
5085,188,67,11,21,ffffffff
5086,188,67,11,22,ffffffff
5087,188,67,11,19,ffffffff
5088,188,97,11,24,ffffffff
5089,188,97,11,25,ffffffff
5090,188,97,11,26,ffffffff
5091,188,67,11,23,ffffffff
5092,188,97,11,28,ffffffff
5093,188,97,11,29,ffffffff
5094,188,97,11,30,ffffffff
5095,188,97,11,27,ffffffff
5096,190,7,11,0,ffffffff
5097,190,7,11,1,ffffffff
5098,190,7,11,2,ffffffff
5099,188,97,11,31,ffffffff
5100,190,7,11,4,ffffffff
5101,190,7,11,5,ffffffff
5102,190,7,11,6,ffffffff
5103,190,7,11,3,ffffffff
5104,190,37,11,8,ffffffff
5105,190,37,11,9,ffffffff
5106,190,37,11,10,ffffffff
5107,190,7,11,7,ffffffff
5108,190,37,11,12,ffffffff
5109,190,37,11,13,ffffffff
5110,190,37,11,14,ffffffff
5111,190,37,11,11,ffffffff
5112,190,67,11,16,ffffffff
5113,190,67,11,17,ffffffff
5114,190,67,11,18,ffffffff
5115,190,37,11,15,ffffffff
5116,190,67,11,20,ffffffff
5117,190,67,11,21,ffffffff
5118,190,67,11,22,ffffffff
5119,190,67,11,19,ffffffff
5120,190,97,11,24,ffffffff
5121,190,97,11,25,ffffffff
5122,190,97,11,26,ffffffff
5123,190,67,11,23,ffffffff
5124,198,7,11,0,ffffffff
5124,190,97,11,28,ffffffff
5125,198,7,11,1,ffffffff
5125,178,37,11,12,ffffffff
5126,198,7,11,2,ffffffff
5126,190,97,11,29,ffffffff
5127,178,37,11,13,ffffffff
5128,190,97,11,30,ffffffff
5129,178,37,11,10,ffffffff
5130,190,97,11,27,ffffffff
5131,190,97,11,31,ffffffff
5132,178,37,11,11,ffffffff
5133,1a0,7,11,0,ffffffff
5133,1a0,7,11,1,ffffffff
5133,1a0,7,11,2,ffffffff
5134,198,7,11,3,ffffffff
5135,1a0,7,11,3,ffffffff
5135,198,7,11,4,ffffffff
5135,198,7,11,5,ffffffff
5135,198,7,11,6,ffffffff
5136,198,37,11,8,ffffffff
5136,198,37,11,9,ffffffff
5136,198,37,11,10,ffffffff
5136,198,7,11,7,ffffffff
5137,198,37,11,13,ffffffff
5137,198,37,11,14,ffffffff
5137,198,37,11,11,ffffffff
5137,198,37,11,12,ffffffff
5138,198,67,11,18,ffffffff
5138,198,37,11,15,ffffffff
5138,198,67,11,16,ffffffff
5138,198,67,11,17,ffffffff
5139,198,67,11,19,ffffffff
5139,198,67,11,20,ffffffff
5139,198,67,11,21,ffffffff
5139,198,67,11,22,ffffffff
5140,198,97,11,24,ffffffff
5140,198,97,11,25,ffffffff
5140,198,97,11,26,ffffffff
5140,198,67,11,23,ffffffff
5141,198,97,11,29,ffffffff
5141,198,97,11,30,ffffffff
5141,198,97,11,27,ffffffff
5141,198,97,11,28,ffffffff
5142,1a8,7,11,2,ffffffff
5142,198,97,11,31,ffffffff
5142,1a8,7,11,0,ffffffff
5142,1a8,7,11,1,ffffffff
5143,1a8,7,11,3,ffffffff
5143,1a0,7,11,4,ffffffff
5143,1a0,7,11,5,ffffffff
5143,1a0,7,11,6,ffffffff
5144,1a0,37,11,8,ffffffff
5144,1a0,37,11,9,ffffffff
5144,1a0,37,11,10,ffffffff
5144,1a0,7,11,7,ffffffff
5145,1a0,37,11,13,ffffffff
5145,1a0,37,11,14,ffffffff
5145,1a0,37,11,11,ffffffff
5145,1a0,37,11,12,ffffffff
5146,1a0,67,11,18,ffffffff
5146,1a0,37,11,15,ffffffff
5146,1a0,67,11,16,ffffffff
5146,1a0,67,11,17,ffffffff
5147,1a0,67,11,19,ffffffff
5147,1a0,67,11,20,ffffffff
5147,1a0,67,11,21,ffffffff
5147,1a0,67,11,22,ffffffff
5148,1a0,97,11,24,ffffffff
5148,1a0,97,11,25,ffffffff
5148,1a0,97,11,26,ffffffff
5148,1a0,67,11,23,ffffffff
5149,1a0,97,11,29,ffffffff
5149,1a0,97,11,30,ffffffff
5149,1a0,97,11,27,ffffffff
5149,1a0,97,11,28,ffffffff
5150,1b0,7,11,2,ffffffff
5150,1a0,97,11,31,ffffffff
5150,1b0,7,11,0,ffffffff
5150,1b0,7,11,1,ffffffff
5151,1b0,7,11,3,ffffffff
5151,1a8,7,11,4,ffffffff
5151,1a8,7,11,5,ffffffff
5151,1a8,7,11,6,ffffffff
5152,1a8,37,11,8,ffffffff
5152,1a8,37,11,9,ffffffff
5152,1a8,37,11,10,ffffffff
5152,1a8,7,11,7,ffffffff
5153,1a8,37,11,13,ffffffff
5153,1a8,37,11,14,ffffffff
5153,1a8,37,11,11,ffffffff
5153,1a8,37,11,12,ffffffff
5154,1a8,67,11,18,ffffffff
5154,1a8,37,11,15,ffffffff
5154,1a8,67,11,16,ffffffff
5154,1a8,67,11,17,ffffffff
5155,1a8,67,11,19,ffffffff
5155,1a8,67,11,20,ffffffff
5155,1a8,67,11,21,ffffffff
5155,1a8,67,11,22,ffffffff
5156,1a8,97,11,24,ffffffff
5156,1a8,97,11,25,ffffffff
5156,1a8,97,11,26,ffffffff
5156,1a8,67,11,23,ffffffff
5157,1a8,97,11,29,ffffffff
5157,1a8,97,11,30,ffffffff
5157,1a8,97,11,27,ffffffff
5157,1a8,97,11,28,ffffffff
5158,1a8,97,11,31,ffffffff
5160,1b0,7,11,4,ffffffff
5160,1b0,7,11,5,ffffffff
5160,1b0,7,11,6,ffffffff
5161,1b8,7,11,2,ffffffff
5161,1b8,7,11,0,ffffffff
5161,1b8,7,11,1,ffffffff
5161,1b0,7,11,7,ffffffff
5162,1b8,7,11,3,ffffffff
5162,1b0,37,11,8,ffffffff
5162,1b0,37,11,9,ffffffff
5162,1b0,37,11,10,ffffffff
5163,1b0,37,11,11,ffffffff
5163,1b0,67,11,18,ffffffff
5163,1b0,67,11,16,ffffffff
5163,1b0,67,11,17,ffffffff
5164,1b0,37,11,13,ffffffff
5164,1b0,37,11,14,ffffffff
5164,1b0,37,11,12,ffffffff
5164,1b0,67,11,19,ffffffff
5165,1b0,37,11,15,ffffffff
5165,1b0,67,11,20,ffffffff
5165,1b0,67,11,21,ffffffff
5165,1b0,67,11,22,ffffffff
5166,1b0,67,11,23,ffffffff
5166,1b0,97,11,24,ffffffff
5166,1b0,97,11,25,ffffffff
5166,1b0,97,11,26,ffffffff
5167,1b0,97,11,27,ffffffff
5169,1b0,97,11,28,ffffffff
5169,1b0,97,11,29,ffffffff
5169,1b0,97,11,30,ffffffff
5170,1b8,7,11,6,ffffffff
5170,1b8,7,11,4,ffffffff
5170,1b8,7,11,5,ffffffff
5170,1b0,97,11,31,ffffffff
5171,1b8,7,11,7,ffffffff
5174,1b8,37,11,10,ffffffff
