Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,1.6202,0.544831,0.005673,0.000697,0.326899
1000100,1.6202,0.544831,0.005673,0.000697,0.326899
1000200,1.6202,0.544831,0.005673,0.000697,0.326899
1000300,1.6202,0.544831,0.005673,0.000697,0.326899
1000400,1.6202,0.544831,0.005673,0.000697,0.326899
1000500,1.6202,0.544831,0.005673,0.000697,0.326899
1000600,1.6202,0.544831,0.005673,0.000697,0.326899
1000700,1.6202,0.544831,0.005673,0.000697,0.326899
1000800,1.6202,0.544831,0.005673,0.000697,0.326899
1000900,1.6202,0.544831,0.005673,0.000697,0.326899
1001000,1.6202,0.544831,0.005673,0.000697,0.326899
1001100,1.6202,0.544831,0.005673,0.000697,0.326899
1001200,1.6202,0.544831,0.005673,0.000697,0.326899
1001300,1.6202,0.544831,0.005673,0.000697,0.326899
1001400,1.6202,0.544831,0.005673,0.000697,0.326899
1001500,1.6202,0.544831,0.005673,0.000697,0.326899
1001600,1.6202,0.544831,0.005673,0.000697,0.326899
1001700,1.6202,0.544831,0.005673,0.000697,0.326899
1001800,1.6202,0.544831,0.005673,0.000697,0.326899
1001900,1.6202,0.544831,0.005673,0.000697,0.326899
1002000,1.6202,0.544831,0.005673,0.000697,0.326899
1002100,1.6202,0.544831,0.005673,0.000697,0.327369
1002200,1.6202,0.544831,0.005673,0.000697,0.326899
1002300,1.6202,0.544831,0.005673,0.000697,0.326899
1002400,1.6202,0.544831,0.005673,0.000697,0.326899
1002500,1.6202,0.544831,0.005673,0.000697,0.326899
1002600,1.6202,0.544831,0.005673,0.000697,0.326899
1002700,1.6202,0.544831,0.005673,0.000697,0.326899
1002800,1.6202,0.544831,0.005673,0.000697,0.326899
1002900,1.6202,0.544831,0.005673,0.000697,0.326899
1003000,1.6202,0.544831,0.005673,0.000697,0.326899
1003100,1.6202,0.544831,0.005673,0.000697,0.326899
1003200,1.6202,0.544831,0.005673,0.000697,0.326899
1003300,1.6202,0.544831,0.005673,0.000697,0.326899
1003400,1.6202,0.544831,0.005673,0.000697,0.326899
1003500,1.6202,0.544831,0.005673,0.000697,0.326899
1003600,1.6202,0.544831,0.005673,0.000697,0.326899
1003700,1.6202,0.544831,0.005673,0.000697,0.326899
1003800,1.6202,0.544831,0.005673,0.000697,0.326899
1003900,1.6202,0.544831,0.005673,0.000697,0.326899
1004000,1.6202,0.544831,0.005673,0.000697,0.326899
1004100,1.6202,0.544831,0.005673,0.000697,0.326899
1004200,1.6202,0.544831,0.005673,0.000697,0.326899
1004300,1.6202,0.544831,0.005673,0.000697,0.326899
1004400,1.6202,0.544831,0.005673,0.000697,0.326899
1004500,1.6202,0.544831,0.005673,0.000697,0.326899
1004600,1.6202,0.544831,0.005673,0.000697,0.326899
1004700,1.6202,0.544831,0.005673,0.000697,0.326899
1004800,1.6202,0.544831,0.005673,0.000697,0.326899
1004900,1.6202,0.544831,0.005673,0.000697,0.326899
1005000,1.6202,0.544831,0.005673,0.000697,0.326899
1005100,1.6202,0.544831,0.005673,0.000697,0.326899
1005200,1.6202,0.544831,0.005673,0.000697,0.326899
1005300,1.6202,0.544831,0.005673,0.000697,0.326899
1005400,1.6202,0.544831,0.005673,0.000697,0.326899
1005500,1.6202,0.544831,0.005673,0.000697,0.326899
1005600,1.6202,0.544831,0.005673,0.000697,0.326899
1005700,1.6202,0.544831,0.005673,0.000697,0.326899
1005800,1.6202,0.544831,0.005673,0.000697,0.326899
1005900,1.6202,0.544831,0.005673,0.000697,0.326899
1006000,1.6202,0.544831,0.005673,0.000697,0.326899
1006100,1.6202,0.544831,0.005673,0.000697,0.326899
1006200,1.6202,0.544831,0.005673,0.000697,0.326899
1006300,1.6202,0.544831,0.005673,0.000697,0.326899
1006400,1.6202,0.544831,0.005673,0.000697,0.326899
1006500,1.6202,0.544831,0.005673,0.000697,0.326899
1006600,1.6202,0.544831,0.005673,0.000697,0.326899
1006700,1.6202,0.544831,0.005673,0.000697,0.326899
1006800,1.6202,0.544831,0.005673,0.000697,0.326899
1006900,1.6202,0.544831,0.005673,0.000697,0.326899
1007000,1.6202,0.544831,0.005673,0.000697,0.327369
1007100,1.6202,0.544831,0.005673,0.000697,0.326899
1007200,1.6202,0.544831,0.005673,0.000697,0.326899
1007300,1.6202,0.544831,0.005673,0.000697,0.326899
1007400,1.6202,0.544831,0.005673,0.000697,0.326899
1007500,1.6202,0.544831,0.005673,0.000697,0.326899
1007600,1.6202,0.544831,0.005673,0.000697,0.326899
1007700,1.6202,0.544831,0.005673,0.000697,0.326899
1007800,1.6202,0.544831,0.005673,0.000697,0.326899
1007900,1.6202,0.544831,0.005673,0.000697,0.326899
1008000,1.6202,0.544831,0.005673,0.000697,0.326899
1008100,1.6202,0.544831,0.005673,0.000697,0.326899
1008200,1.6202,0.544831,0.005673,0.000697,0.326899
1008300,1.6202,0.544831,0.005673,0.000697,0.326899
1008400,1.6202,0.544831,0.005673,0.000697,0.326899
1008500,1.6202,0.544831,0.005673,0.000697,0.326899
1008600,1.6202,0.544831,0.005673,0.000697,0.326899
1008700,1.6202,0.544831,0.005673,0.000697,0.326899
1008800,1.6202,0.544831,0.005673,0.000697,0.326899
1008900,1.6202,0.544831,0.005673,0.000697,0.326899
1009000,1.6202,0.544831,0.005673,0.000697,0.326899
1009100,1.6202,0.544831,0.005673,0.000697,0.326899
1009200,1.6202,0.544831,0.005673,0.000697,0.326899
1009300,1.6202,0.544831,0.005673,0.000697,0.326899
1009400,1.6202,0.544831,0.005673,0.000697,0.326899
1009500,1.6202,0.544831,0.005673,0.000697,0.326899
1009600,1.6202,0.544831,0.005673,0.000697,0.326899
1009700,1.6202,0.544831,0.005673,0.000697,0.326899
1009800,1.6202,0.544831,0.005673,0.000697,0.326899
1009900,1.6202,0.544831,0.005673,0.000697,0.326899
1010000,1.6202,0.544831,0.005673,0.000697,0.326899
1010100,1.6202,0.544831,0.005673,0.000697,0.326899
1010200,1.6202,0.544831,0.005673,0.000697,0.326899
1010300,1.6202,0.544831,0.005673,0.000697,0.326899
1010400,1.6202,0.544831,0.005673,0.000697,0.326899
1010500,1.6202,0.544831,0.005673,0.000697,0.326899
1010600,1.6202,0.544831,0.005673,0.000697,0.326899
1010700,1.6202,0.544831,0.005673,0.000697,0.326899
1010800,1.6202,0.544831,0.005673,0.000697,0.326899
1010900,1.6202,0.544831,0.005673,0.000697,0.326899
1011000,1.6202,0.544831,0.005673,0.000697,0.326899
1011100,1.6202,0.544831,0.005673,0.000697,0.326899
1011200,1.6202,0.544831,0.005673,0.000697,0.326899
1011300,1.6202,0.544831,0.005673,0.000697,0.326899
1011400,1.6202,0.544831,0.005673,0.000697,0.326899
1011500,1.6202,0.544831,0.005673,0.000697,0.327369
1011600,1.6202,0.544831,0.005673,0.000697,0.326899
1011700,1.6202,0.544831,0.005673,0.000697,0.326899
1011800,1.6202,0.544831,0.005673,0.000697,0.326899
1011900,1.6202,0.544831,0.005673,0.000697,0.326899
1012000,1.6202,0.544831,0.005673,0.000697,0.326899
1012100,1.6202,0.544831,0.005673,0.000697,0.326899
1012200,1.6202,0.544831,0.005673,0.000697,0.326899
1012300,1.6202,0.544831,0.005673,0.000697,0.326899
1012400,1.6202,0.544831,0.005673,0.000697,0.326899
1012500,1.6202,0.544831,0.005673,0.000697,0.326899
1012600,1.6202,0.544831,0.005673,0.000697,0.326899
1012700,1.6202,0.544831,0.005673,0.000697,0.326899
1012800,1.6202,0.544831,0.005673,0.000697,0.326899
1012900,1.6202,0.544831,0.005673,0.000697,0.326899
1013000,1.6202,0.544831,0.005673,0.000697,0.326899
1013100,1.6202,0.544831,0.005673,0.000697,0.326899
1013200,1.6202,0.544831,0.005673,0.000697,0.326899
1013300,1.6202,0.544831,0.005673,0.000697,0.326899
1013400,1.6202,0.544831,0.005673,0.000697,0.326899
1013500,1.6202,0.544831,0.005673,0.000697,0.326899
1013600,1.6202,0.544831,0.005673,0.000697,0.326899
1013700,1.6202,0.544831,0.005673,0.000697,0.326899
1013800,1.6202,0.544831,0.005673,0.000697,0.326899
1013900,1.6202,0.544831,0.005673,0.000697,0.326899
1014000,1.6202,0.544831,0.005673,0.000697,0.326899
1014100,1.6202,0.544831,0.005673,0.000697,0.326899
1014200,1.6202,0.544831,0.005673,0.000697,0.326899
1014300,1.6202,0.544831,0.005673,0.000697,0.326899
1014400,1.6202,0.544831,0.005673,0.000697,0.326899
1014500,1.6202,0.544831,0.005673,0.000697,0.326899
1014600,1.6202,0.544831,0.005673,0.000697,0.326899
1014700,1.6202,0.544831,0.005673,0.000697,0.326899
1014800,1.6202,0.544831,0.005673,0.000697,0.326899
1014900,1.6202,0.544831,0.005673,0.000697,0.326899
1015000,1.6202,0.544831,0.005673,0.000697,0.326899
1015100,1.6202,0.544831,0.005673,0.000697,0.326899
1015200,1.6202,0.544831,0.005673,0.000697,0.326899
1015300,1.6202,0.544831,0.005673,0.000697,0.326899
1015400,1.6202,0.544831,0.005673,0.000697,0.326899
1015500,1.6202,0.544831,0.005673,0.000697,0.326899
1015600,1.6202,0.544831,0.005673,0.000697,0.326899
1015700,1.6202,0.544831,0.005673,0.000697,0.326899
1015800,1.6202,0.544831,0.005673,0.000697,0.326899
1015900,1.6202,0.544831,0.005673,0.000697,0.326899
1016000,1.6202,0.544831,0.005673,0.000697,0.326899
1016100,1.6202,0.544831,0.005673,0.000697,0.326899
1016200,1.6202,0.544831,0.005673,0.000697,0.326899
1016300,1.6202,0.544831,0.005673,0.000697,0.327369
1016400,1.6202,0.544831,0.005673,0.000697,0.326899
1016500,1.6202,0.544831,0.005673,0.000697,0.326899
1016600,1.6202,0.544831,0.005673,0.000697,0.326899
1016700,1.6202,0.544831,0.005673,0.000697,0.326899
1016800,1.6202,0.544831,0.005673,0.000697,0.326899
1016900,1.6202,0.544831,0.005673,0.000697,0.326899
1017000,1.6202,0.544831,0.005673,0.000697,0.326899
1017100,1.6202,0.544831,0.005673,0.000697,0.326899
1017200,1.6202,0.544831,0.005673,0.000697,0.326899
1017300,1.6202,0.544831,0.005673,0.000697,0.326899
