cycle,pc,cta_id,cluster_id,warp_id,tid
5005,178,25,23,4,ffffffff
5006,178,25,23,2,ffffffff
5007,178,25,23,3,ffffffff
5008,178,25,23,5,ffffffff
5009,178,25,23,6,ffffffff
5010,178,25,23,7,ffffffff
5011,178,55,23,8,ffffffff
5012,178,55,23,10,ffffffff
5013,178,55,23,12,ffffffff
5014,178,55,23,9,ffffffff
5015,178,55,23,15,ffffffff
5016,178,85,23,20,ffffffff
5017,178,85,23,17,ffffffff
5018,178,85,23,18,ffffffff
5019,178,85,23,19,ffffffff
5020,178,115,23,24,ffffffff
5021,178,85,23,21,ffffffff
5022,178,85,23,22,ffffffff
5023,178,85,23,23,ffffffff
5024,178,115,23,28,ffffffff
5025,178,115,23,25,ffffffff
5026,178,115,23,26,ffffffff
5027,178,115,23,27,ffffffff
5028,178,25,23,0,ffffffff
5029,178,115,23,29,ffffffff
5030,178,115,23,30,ffffffff
5031,178,115,23,31,ffffffff
5032,180,25,23,4,ffffffff
5033,178,25,23,1,ffffffff
5034,180,25,23,2,ffffffff
5035,180,25,23,3,ffffffff
5036,180,55,23,8,ffffffff
5037,180,25,23,5,ffffffff
5038,180,25,23,6,ffffffff
5039,180,25,23,7,ffffffff
5040,180,55,23,12,ffffffff
5041,180,55,23,9,ffffffff
5042,180,55,23,10,ffffffff
5043,180,55,23,11,ffffffff
5044,180,85,23,16,ffffffff
5045,180,55,23,13,ffffffff
5046,180,55,23,14,ffffffff
5047,180,55,23,15,ffffffff
5048,180,85,23,20,ffffffff
5049,180,85,23,17,ffffffff
5050,180,85,23,18,ffffffff
5051,180,85,23,19,ffffffff
5052,180,115,23,24,ffffffff
5053,180,85,23,21,ffffffff
5054,180,85,23,22,ffffffff
5055,180,85,23,23,ffffffff
5056,180,115,23,28,ffffffff
5057,180,115,23,25,ffffffff
5058,180,115,23,26,ffffffff
5059,180,115,23,27,ffffffff
5060,180,25,23,0,ffffffff
5061,180,115,23,29,ffffffff
5062,180,115,23,30,ffffffff
5063,180,115,23,31,ffffffff
5064,188,25,23,4,ffffffff
5065,180,25,23,1,ffffffff
5066,188,25,23,2,ffffffff
5067,188,25,23,3,ffffffff
5068,188,55,23,8,ffffffff
5069,188,25,23,5,ffffffff
5070,188,25,23,6,ffffffff
5071,188,25,23,7,ffffffff
5072,188,55,23,12,ffffffff
5073,188,55,23,9,ffffffff
5074,188,55,23,10,ffffffff
5075,188,55,23,11,ffffffff
5076,188,85,23,16,ffffffff
5077,188,55,23,13,ffffffff
5078,188,55,23,14,ffffffff
5079,188,55,23,15,ffffffff
5080,188,85,23,20,ffffffff
5081,188,85,23,17,ffffffff
5082,188,85,23,18,ffffffff
5083,188,85,23,19,ffffffff
5084,188,115,23,24,ffffffff
5085,188,85,23,21,ffffffff
5086,188,85,23,22,ffffffff
5087,188,85,23,23,ffffffff
5088,188,115,23,28,ffffffff
5089,188,115,23,25,ffffffff
5090,188,115,23,26,ffffffff
5091,188,115,23,27,ffffffff
5092,188,25,23,0,ffffffff
5093,188,115,23,29,ffffffff
5094,188,115,23,30,ffffffff
5095,188,115,23,31,ffffffff
5096,190,25,23,4,ffffffff
5097,188,25,23,1,ffffffff
5098,190,25,23,2,ffffffff
5099,190,25,23,3,ffffffff
5100,190,55,23,8,ffffffff
5101,190,25,23,5,ffffffff
5102,190,25,23,6,ffffffff
5103,190,25,23,7,ffffffff
5104,190,55,23,12,ffffffff
5105,190,55,23,9,ffffffff
5106,190,55,23,10,ffffffff
5107,190,55,23,11,ffffffff
5108,190,85,23,16,ffffffff
5109,190,55,23,13,ffffffff
5110,190,55,23,14,ffffffff
5111,190,55,23,15,ffffffff
5112,190,85,23,20,ffffffff
5113,190,85,23,17,ffffffff
5114,190,85,23,18,ffffffff
5115,190,85,23,19,ffffffff
5116,190,115,23,24,ffffffff
5117,190,85,23,21,ffffffff
5118,190,85,23,22,ffffffff
5119,190,85,23,23,ffffffff
5120,190,115,23,28,ffffffff
5121,190,115,23,25,ffffffff
5122,190,115,23,26,ffffffff
5123,190,115,23,27,ffffffff
5124,198,25,23,4,ffffffff
5124,190,25,23,0,ffffffff
5125,178,85,23,16,ffffffff
5126,198,25,23,2,ffffffff
5126,190,115,23,29,ffffffff
5127,198,25,23,3,ffffffff
5127,190,115,23,30,ffffffff
5128,178,55,23,14,ffffffff
5129,1a0,25,23,4,ffffffff
5129,1a0,25,23,2,ffffffff
5129,1a0,25,23,3,ffffffff
5129,190,115,23,31,ffffffff
5130,198,25,23,5,ffffffff
5130,178,55,23,11,ffffffff
5131,198,25,23,7,ffffffff
5131,198,55,23,8,ffffffff
5131,1a0,25,23,5,ffffffff
5131,198,25,23,6,ffffffff
5131,190,25,23,1,ffffffff
5132,198,55,23,12,ffffffff
5132,198,55,23,9,ffffffff
5132,198,55,23,10,ffffffff
5132,198,55,23,11,ffffffff
5132,178,55,23,13,ffffffff
5133,198,55,23,13,ffffffff
5133,198,55,23,14,ffffffff
5133,198,55,23,15,ffffffff
5133,198,85,23,16,ffffffff
5134,198,85,23,18,ffffffff
5134,198,85,23,19,ffffffff
5134,198,85,23,20,ffffffff
5134,198,85,23,17,ffffffff
5135,198,85,23,23,ffffffff
5135,198,115,23,24,ffffffff
5135,198,85,23,21,ffffffff
5135,198,85,23,22,ffffffff
5136,198,115,23,28,ffffffff
5136,198,115,23,25,ffffffff
5136,198,115,23,26,ffffffff
5136,198,115,23,27,ffffffff
5137,198,115,23,29,ffffffff
5137,198,115,23,30,ffffffff
5137,198,115,23,31,ffffffff
5137,198,25,23,0,ffffffff
5138,1a8,25,23,2,ffffffff
5138,1a8,25,23,3,ffffffff
5138,1a8,25,23,4,ffffffff
5138,198,25,23,1,ffffffff
5139,1a0,25,23,7,ffffffff
5139,1a0,55,23,8,ffffffff
5139,1a8,25,23,5,ffffffff
5139,1a0,25,23,6,ffffffff
5140,1a0,55,23,12,ffffffff
5140,1a0,55,23,9,ffffffff
5140,1a0,55,23,10,ffffffff
5140,1a0,55,23,11,ffffffff
5141,1a0,55,23,13,ffffffff
5141,1a0,55,23,14,ffffffff
5141,1a0,55,23,15,ffffffff
5141,1a0,85,23,16,ffffffff
5142,1a0,85,23,18,ffffffff
5142,1a0,85,23,19,ffffffff
5142,1a0,85,23,20,ffffffff
5142,1a0,85,23,17,ffffffff
5143,1a0,85,23,23,ffffffff
5143,1a0,115,23,24,ffffffff
5143,1a0,85,23,21,ffffffff
5143,1a0,85,23,22,ffffffff
5144,1a0,115,23,28,ffffffff
5144,1a0,115,23,25,ffffffff
5144,1a0,115,23,26,ffffffff
5144,1a0,115,23,27,ffffffff
5145,1a0,115,23,29,ffffffff
5145,1a0,115,23,30,ffffffff
5145,1a0,115,23,31,ffffffff
5145,1a0,25,23,0,ffffffff
5146,1b0,25,23,2,ffffffff
5146,1b0,25,23,3,ffffffff
5146,1b0,25,23,4,ffffffff
5146,1a0,25,23,1,ffffffff
5147,1a8,25,23,7,ffffffff
5147,1a8,55,23,8,ffffffff
5147,1b0,25,23,5,ffffffff
5147,1a8,25,23,6,ffffffff
5148,1a8,55,23,12,ffffffff
5148,1a8,55,23,9,ffffffff
5148,1a8,55,23,10,ffffffff
5148,1a8,55,23,11,ffffffff
5149,1a8,55,23,13,ffffffff
5149,1a8,55,23,14,ffffffff
5149,1a8,55,23,15,ffffffff
5149,1a8,85,23,16,ffffffff
5150,1a8,85,23,18,ffffffff
5150,1a8,85,23,19,ffffffff
5150,1a8,85,23,20,ffffffff
5150,1a8,85,23,17,ffffffff
5151,1a8,85,23,23,ffffffff
5151,1a8,115,23,24,ffffffff
5151,1a8,85,23,21,ffffffff
5151,1a8,85,23,22,ffffffff
5152,1a8,115,23,28,ffffffff
5152,1a8,115,23,25,ffffffff
5152,1a8,115,23,26,ffffffff
5152,1a8,115,23,27,ffffffff
5153,1a8,115,23,29,ffffffff
5153,1a8,115,23,30,ffffffff
5153,1a8,115,23,31,ffffffff
5153,1a8,25,23,0,ffffffff
5154,1a8,25,23,1,ffffffff
5156,1b0,25,23,7,ffffffff
5156,1b0,55,23,8,ffffffff
5156,1b0,25,23,6,ffffffff
5157,1b8,25,23,2,ffffffff
5157,1b8,25,23,3,ffffffff
5157,1b8,25,23,4,ffffffff
5157,1b0,55,23,9,ffffffff
5158,1b8,25,23,5,ffffffff
5158,1b0,55,23,12,ffffffff
5158,1b0,55,23,10,ffffffff
5158,1b0,55,23,11,ffffffff
5159,1b0,55,23,13,ffffffff
5159,1b0,85,23,18,ffffffff
5159,1b0,85,23,19,ffffffff
5159,1b0,85,23,20,ffffffff
5160,1b0,55,23,14,ffffffff
5160,1b0,85,23,16,ffffffff
5160,1b0,85,23,17,ffffffff
5160,1b0,85,23,23,ffffffff
5161,1b0,55,23,15,ffffffff
5161,1b0,115,23,24,ffffffff
5161,1b0,85,23,21,ffffffff
5161,1b0,85,23,22,ffffffff
5162,1b0,115,23,27,ffffffff
5162,1b0,115,23,25,ffffffff
5162,1b0,115,23,28,ffffffff
5162,1b0,115,23,26,ffffffff
5163,1b0,115,23,31,ffffffff
5163,1b0,115,23,29,ffffffff
5164,1b0,25,23,1,ffffffff
5165,1b0,25,23,0,ffffffff
5165,1b0,115,23,30,ffffffff
5166,1b8,25,23,6,ffffffff
5166,1b8,55,23,8,ffffffff
5168,1b8,25,23,7,ffffffff
5169,1b8,55,23,9,ffffffff
5170,1b8,55,23,11,ffffffff
5170,1b8,55,23,10,ffffffff
5170,1b8,55,23,12,ffffffff
5171,1b8,55,23,13,ffffffff
5172,1b8,85,23,19,ffffffff
5172,1b8,85,23,16,ffffffff
5173,1b8,85,23,17,ffffffff
5173,1b8,55,23,14,ffffffff
5174,1b8,85,23,23,ffffffff
5175,1b8,85,23,18,ffffffff
5175,1b8,85,23,20,ffffffff
5175,1b8,85,23,21,ffffffff
5176,1b8,55,23,15,ffffffff
5177,1b8,115,23,24,ffffffff
5177,1b8,85,23,22,ffffffff
5177,1b8,115,23,25,ffffffff
5178,1b8,115,23,27,ffffffff
5179,1b8,115,23,26,ffffffff
5181,1b8,115,23,28,ffffffff
5181,1b8,115,23,31,ffffffff
5186,1b8,115,23,29,ffffffff
5186,1b8,115,23,30,ffffffff
5187,1b8,25,23,0,ffffffff
5188,1b8,25,23,1,ffffffff
5400,1c0,25,23,4,ffffffff
5401,1c0,25,23,5,ffffffff
5402,1c0,25,23,2,ffffffff
5403,1c0,25,23,3,ffffffff
5404,1c0,25,23,6,ffffffff
5405,1c0,55,23,8,ffffffff
5406,1c8,25,23,4,ffffffff
5407,1d0,25,23,4,ffffffff
5407,1c8,25,23,5,ffffffff
5408,1d0,25,23,5,ffffffff
5408,1d0,25,23,2,ffffffff
5408,1c0,55,23,12,ffffffff
5409,1c8,25,23,2,ffffffff
5409,1c8,25,23,3,ffffffff
5409,1c0,55,23,9,ffffffff
5410,1c8,25,23,6,ffffffff
5410,1d0,25,23,3,ffffffff
5411,1d0,25,23,6,ffffffff
5412,1c8,55,23,8,ffffffff
5412,1c0,55,23,10,ffffffff
5413,1d0,55,23,8,ffffffff
5413,1c0,25,23,7,ffffffff
5414,1c8,55,23,12,ffffffff
5414,1e0,25,23,5,ffffffff
5415,1e0,25,23,4,ffffffff
5415,1c8,55,23,9,ffffffff
5416,1d0,55,23,12,ffffffff
5416,1e0,25,23,3,ffffffff
5416,1c0,55,23,13,ffffffff
5417,1e0,25,23,2,ffffffff
