cycle,pc,cta_id,cluster_id,warp_id,tid
5005,178,1,22,2,ffffffff
5006,178,1,22,3,ffffffff
5007,178,1,22,4,ffffffff
5008,178,1,22,7,ffffffff
5009,178,31,22,8,ffffffff
5010,178,1,22,5,ffffffff
5011,178,1,22,6,ffffffff
5012,178,31,22,9,ffffffff
5013,178,31,22,10,ffffffff
5014,178,31,22,11,ffffffff
5015,178,61,22,16,ffffffff
5016,178,61,22,18,ffffffff
5017,178,61,22,19,ffffffff
5018,178,61,22,20,ffffffff
5019,178,61,22,17,ffffffff
5020,178,61,22,22,ffffffff
5021,178,61,22,23,ffffffff
5022,178,91,22,24,ffffffff
5023,178,61,22,21,ffffffff
5024,178,91,22,26,ffffffff
5025,178,91,22,27,ffffffff
5026,178,91,22,28,ffffffff
5027,178,91,22,25,ffffffff
5028,178,91,22,30,ffffffff
5029,178,91,22,31,ffffffff
5030,178,1,22,0,ffffffff
5031,178,91,22,29,ffffffff
5032,180,1,22,2,ffffffff
5033,180,1,22,3,ffffffff
5034,180,1,22,4,ffffffff
5035,178,1,22,1,ffffffff
5036,180,1,22,6,ffffffff
5037,180,1,22,7,ffffffff
5038,180,31,22,8,ffffffff
5039,180,1,22,5,ffffffff
5040,180,31,22,10,ffffffff
5041,180,31,22,11,ffffffff
5042,180,31,22,12,ffffffff
5043,180,31,22,9,ffffffff
5044,180,31,22,14,ffffffff
5045,180,31,22,15,ffffffff
5046,180,61,22,16,ffffffff
5047,180,31,22,13,ffffffff
5048,180,61,22,18,ffffffff
5049,180,61,22,19,ffffffff
5050,180,61,22,20,ffffffff
5051,180,61,22,17,ffffffff
5052,180,61,22,22,ffffffff
5053,180,61,22,23,ffffffff
5054,180,91,22,24,ffffffff
5055,180,61,22,21,ffffffff
5056,180,91,22,26,ffffffff
5057,180,91,22,27,ffffffff
5058,180,91,22,28,ffffffff
5059,180,91,22,25,ffffffff
5060,180,91,22,30,ffffffff
5061,180,91,22,31,ffffffff
5062,180,1,22,0,ffffffff
5063,180,91,22,29,ffffffff
5064,188,1,22,2,ffffffff
5065,188,1,22,3,ffffffff
5066,188,1,22,4,ffffffff
5067,180,1,22,1,ffffffff
5068,188,1,22,6,ffffffff
5069,188,1,22,7,ffffffff
5070,188,31,22,8,ffffffff
5071,188,1,22,5,ffffffff
5072,188,31,22,10,ffffffff
5073,188,31,22,11,ffffffff
5074,188,31,22,12,ffffffff
5075,188,31,22,9,ffffffff
5076,188,31,22,14,ffffffff
5077,188,31,22,15,ffffffff
5078,188,61,22,16,ffffffff
5079,188,31,22,13,ffffffff
5080,188,61,22,18,ffffffff
5081,188,61,22,19,ffffffff
5082,188,61,22,20,ffffffff
5083,188,61,22,17,ffffffff
5084,188,61,22,22,ffffffff
5085,188,61,22,23,ffffffff
5086,188,91,22,24,ffffffff
5087,188,61,22,21,ffffffff
5088,188,91,22,26,ffffffff
5089,188,91,22,27,ffffffff
5090,188,91,22,28,ffffffff
5091,188,91,22,25,ffffffff
5092,188,91,22,30,ffffffff
5093,188,91,22,31,ffffffff
5094,188,1,22,0,ffffffff
5095,188,91,22,29,ffffffff
5096,190,1,22,2,ffffffff
5097,190,1,22,3,ffffffff
5098,190,1,22,4,ffffffff
5099,188,1,22,1,ffffffff
5100,190,1,22,6,ffffffff
5101,190,1,22,7,ffffffff
5102,190,31,22,8,ffffffff
5103,190,1,22,5,ffffffff
5104,190,31,22,10,ffffffff
5105,190,31,22,11,ffffffff
5106,190,31,22,12,ffffffff
5107,190,31,22,9,ffffffff
5108,190,31,22,14,ffffffff
5109,190,31,22,15,ffffffff
5110,190,61,22,16,ffffffff
5111,190,31,22,13,ffffffff
5112,190,61,22,18,ffffffff
5113,190,61,22,19,ffffffff
5114,190,61,22,20,ffffffff
5115,190,61,22,17,ffffffff
5116,190,61,22,22,ffffffff
5117,190,61,22,23,ffffffff
5118,190,91,22,24,ffffffff
5119,190,61,22,21,ffffffff
5120,190,91,22,26,ffffffff
5121,190,91,22,27,ffffffff
5122,190,91,22,28,ffffffff
5123,190,91,22,25,ffffffff
5124,198,1,22,2,ffffffff
5124,190,91,22,30,ffffffff
5125,198,1,22,3,ffffffff
5125,178,31,22,14,ffffffff
5126,198,1,22,4,ffffffff
5126,190,91,22,31,ffffffff
5127,178,31,22,15,ffffffff
5128,190,1,22,0,ffffffff
5129,178,31,22,12,ffffffff
5130,190,91,22,29,ffffffff
5131,190,1,22,1,ffffffff
5132,178,31,22,13,ffffffff
5133,1a0,1,22,2,ffffffff
5133,1a0,1,22,3,ffffffff
5133,1a0,1,22,4,ffffffff
5134,198,1,22,5,ffffffff
5135,1a0,1,22,5,ffffffff
5135,198,1,22,6,ffffffff
5135,198,1,22,7,ffffffff
5135,198,31,22,8,ffffffff
5136,198,31,22,10,ffffffff
5136,198,31,22,11,ffffffff
5136,198,31,22,12,ffffffff
5136,198,31,22,9,ffffffff
5137,198,31,22,15,ffffffff
5137,198,61,22,16,ffffffff
5137,198,31,22,13,ffffffff
5137,198,31,22,14,ffffffff
5138,198,61,22,20,ffffffff
5138,198,61,22,17,ffffffff
5138,198,61,22,18,ffffffff
5138,198,61,22,19,ffffffff
5139,198,61,22,21,ffffffff
5139,198,61,22,22,ffffffff
5139,198,61,22,23,ffffffff
5139,198,91,22,24,ffffffff
5140,198,91,22,26,ffffffff
5140,198,91,22,27,ffffffff
5140,198,91,22,28,ffffffff
5140,198,91,22,25,ffffffff
5141,198,91,22,31,ffffffff
5141,198,1,22,0,ffffffff
5141,198,91,22,29,ffffffff
