cycle,pc,cta_id,cluster_id,warp_id,tid
5005,178,28,19,0,ffffffff
5006,178,28,19,1,ffffffff
5007,178,28,19,2,ffffffff
5008,178,28,19,4,ffffffff
5009,178,28,19,5,ffffffff
5010,178,28,19,6,ffffffff
5011,178,28,19,3,ffffffff
5012,178,58,19,9,ffffffff
5013,178,28,19,7,ffffffff
5014,178,58,19,8,ffffffff
5015,178,58,19,14,ffffffff
5016,178,58,19,15,ffffffff
5017,178,88,19,16,ffffffff
5018,178,88,19,17,ffffffff
5019,178,88,19,18,ffffffff
5020,178,88,19,19,ffffffff
5021,178,88,19,20,ffffffff
5022,178,88,19,21,ffffffff
5023,178,88,19,22,ffffffff
5024,178,88,19,23,ffffffff
5025,178,118,19,24,ffffffff
5026,178,118,19,25,ffffffff
5027,178,118,19,26,ffffffff
5028,178,118,19,27,ffffffff
5029,178,118,19,28,ffffffff
5030,178,118,19,29,ffffffff
5031,178,118,19,30,ffffffff
5032,178,118,19,31,ffffffff
5033,180,28,19,0,ffffffff
5034,180,28,19,1,ffffffff
5035,180,28,19,2,ffffffff
5036,180,28,19,3,ffffffff
5037,180,28,19,4,ffffffff
5038,180,28,19,5,ffffffff
5039,180,28,19,6,ffffffff
5040,180,28,19,7,ffffffff
5041,180,58,19,8,ffffffff
5042,180,58,19,9,ffffffff
5043,180,58,19,10,ffffffff
5044,180,58,19,11,ffffffff
5045,180,58,19,12,ffffffff
5046,180,58,19,13,ffffffff
5047,180,58,19,14,ffffffff
5048,180,58,19,15,ffffffff
5049,180,88,19,16,ffffffff
5050,180,88,19,17,ffffffff
5051,180,88,19,18,ffffffff
5052,180,88,19,19,ffffffff
5053,180,88,19,20,ffffffff
5054,180,88,19,21,ffffffff
5055,180,88,19,22,ffffffff
5056,180,88,19,23,ffffffff
5057,180,118,19,24,ffffffff
5058,180,118,19,25,ffffffff
5059,180,118,19,26,ffffffff
5060,180,118,19,27,ffffffff
5061,180,118,19,28,ffffffff
5062,180,118,19,29,ffffffff
5063,180,118,19,30,ffffffff
5064,180,118,19,31,ffffffff
5065,188,28,19,0,ffffffff
5066,188,28,19,1,ffffffff
5067,188,28,19,2,ffffffff
5068,188,28,19,3,ffffffff
5069,188,28,19,4,ffffffff
5070,188,28,19,5,ffffffff
5071,188,28,19,6,ffffffff
5072,188,28,19,7,ffffffff
5073,188,58,19,8,ffffffff
5074,188,58,19,9,ffffffff
5075,188,58,19,10,ffffffff
5076,188,58,19,11,ffffffff
5077,188,58,19,12,ffffffff
5078,188,58,19,13,ffffffff
5079,188,58,19,14,ffffffff
5080,188,58,19,15,ffffffff
5081,188,88,19,16,ffffffff
5082,188,88,19,17,ffffffff
5083,188,88,19,18,ffffffff
5084,188,88,19,19,ffffffff
5085,188,88,19,20,ffffffff
5086,188,88,19,21,ffffffff
5087,188,88,19,22,ffffffff
5088,188,88,19,23,ffffffff
5089,188,118,19,24,ffffffff
5090,188,118,19,25,ffffffff
5091,188,118,19,26,ffffffff
5092,188,118,19,27,ffffffff
5093,188,118,19,28,ffffffff
5094,188,118,19,29,ffffffff
5095,188,118,19,30,ffffffff
5096,188,118,19,31,ffffffff
5097,190,28,19,0,ffffffff
5098,190,28,19,1,ffffffff
5099,190,28,19,2,ffffffff
5100,190,28,19,3,ffffffff
5101,190,28,19,4,ffffffff
5102,190,28,19,5,ffffffff
5103,190,28,19,6,ffffffff
5104,190,28,19,7,ffffffff
5105,190,58,19,8,ffffffff
5106,190,58,19,9,ffffffff
5107,190,58,19,10,ffffffff
5108,190,58,19,11,ffffffff
5109,190,58,19,12,ffffffff
5110,190,58,19,13,ffffffff
5111,190,58,19,14,ffffffff
5112,190,58,19,15,ffffffff
5113,190,88,19,16,ffffffff
5114,190,88,19,17,ffffffff
5115,190,88,19,18,ffffffff
5116,190,88,19,19,ffffffff
5117,190,88,19,20,ffffffff
5118,190,88,19,21,ffffffff
5119,190,88,19,22,ffffffff
5120,190,88,19,23,ffffffff
5121,190,118,19,24,ffffffff
5122,190,118,19,25,ffffffff
5123,190,118,19,26,ffffffff
5124,190,118,19,27,ffffffff
5125,198,28,19,0,ffffffff
5125,190,118,19,28,ffffffff
5126,198,28,19,1,ffffffff
5126,178,58,19,12,ffffffff
5127,198,28,19,2,ffffffff
5127,1a0,28,19,0,ffffffff
5127,1a0,28,19,1,ffffffff
5127,190,118,19,29,ffffffff
5128,198,28,19,3,ffffffff
5128,1a0,28,19,2,ffffffff
5128,178,58,19,13,ffffffff
5129,198,28,19,4,ffffffff
5129,198,28,19,5,ffffffff
5129,198,28,19,6,ffffffff
5129,1a0,28,19,3,ffffffff
5129,190,118,19,30,ffffffff
5130,198,58,19,9,ffffffff
5130,198,58,19,10,ffffffff
5130,198,28,19,7,ffffffff
5130,198,58,19,8,ffffffff
5130,178,58,19,10,ffffffff
5131,198,58,19,14,ffffffff
5131,198,58,19,11,ffffffff
5131,198,58,19,12,ffffffff
5131,198,58,19,13,ffffffff
5131,190,118,19,31,ffffffff
5132,198,58,19,15,ffffffff
5132,198,88,19,16,ffffffff
5132,198,88,19,17,ffffffff
5132,198,88,19,18,ffffffff
5132,178,58,19,11,ffffffff
5133,198,88,19,20,ffffffff
5133,198,88,19,21,ffffffff
5133,198,88,19,22,ffffffff
5133,198,88,19,19,ffffffff
5134,198,118,19,25,ffffffff
5134,198,118,19,26,ffffffff
5134,198,88,19,23,ffffffff
5134,198,118,19,24,ffffffff
5135,198,118,19,30,ffffffff
5135,198,118,19,27,ffffffff
5135,198,118,19,28,ffffffff
5135,198,118,19,29,ffffffff
5136,198,118,19,31,ffffffff
5136,1a8,28,19,0,ffffffff
5136,1a8,28,19,1,ffffffff
5136,1a8,28,19,2,ffffffff
5137,1a0,28,19,4,ffffffff
5137,1a0,28,19,5,ffffffff
5137,1a0,28,19,6,ffffffff
5137,1a8,28,19,3,ffffffff
5138,1a0,58,19,9,ffffffff
5138,1a0,58,19,10,ffffffff
5138,1a0,28,19,7,ffffffff
5138,1a0,58,19,8,ffffffff
5139,1a0,58,19,14,ffffffff
5139,1a0,58,19,11,ffffffff
5139,1a0,58,19,12,ffffffff
5139,1a0,58,19,13,ffffffff
5140,1a0,58,19,15,ffffffff
5140,1a0,88,19,16,ffffffff
5140,1a0,88,19,17,ffffffff
5140,1a0,88,19,18,ffffffff
5141,1a0,88,19,20,ffffffff
5141,1a0,88,19,21,ffffffff
5141,1a0,88,19,22,ffffffff
5141,1a0,88,19,19,ffffffff
5142,1a0,118,19,25,ffffffff
5142,1a0,118,19,26,ffffffff
5142,1a0,88,19,23,ffffffff
5142,1a0,118,19,24,ffffffff
5143,1a0,118,19,30,ffffffff
5143,1a0,118,19,27,ffffffff
5143,1a0,118,19,28,ffffffff
5143,1a0,118,19,29,ffffffff
5144,1a0,118,19,31,ffffffff
5144,1b0,28,19,0,ffffffff
5144,1b0,28,19,1,ffffffff
5144,1b0,28,19,2,ffffffff
5145,1a8,28,19,4,ffffffff
5145,1a8,28,19,5,ffffffff
5145,1a8,28,19,6,ffffffff
5145,1b0,28,19,3,ffffffff
5146,1a8,58,19,9,ffffffff
5146,1a8,58,19,10,ffffffff
5146,1a8,28,19,7,ffffffff
5146,1a8,58,19,8,ffffffff
5147,1a8,58,19,14,ffffffff
5147,1a8,58,19,11,ffffffff
5147,1a8,58,19,12,ffffffff
5147,1a8,58,19,13,ffffffff
5148,1a8,58,19,15,ffffffff
5148,1a8,88,19,16,ffffffff
5148,1a8,88,19,17,ffffffff
5148,1a8,88,19,18,ffffffff
5149,1a8,88,19,20,ffffffff
5149,1a8,88,19,21,ffffffff
5149,1a8,88,19,22,ffffffff
5149,1a8,88,19,19,ffffffff
5150,1a8,118,19,25,ffffffff
5150,1a8,118,19,26,ffffffff
5150,1a8,88,19,23,ffffffff
5150,1a8,118,19,24,ffffffff
5151,1a8,118,19,30,ffffffff
5151,1a8,118,19,27,ffffffff
5151,1a8,118,19,28,ffffffff
5151,1a8,118,19,29,ffffffff
5152,1a8,118,19,31,ffffffff
5154,1b0,28,19,4,ffffffff
5154,1b0,28,19,5,ffffffff
5154,1b0,28,19,6,ffffffff
5155,1b8,28,19,0,ffffffff
5155,1b8,28,19,1,ffffffff
5155,1b8,28,19,2,ffffffff
5155,1b0,28,19,7,ffffffff
5156,1b8,28,19,3,ffffffff
5156,1b0,58,19,9,ffffffff
5156,1b0,58,19,10,ffffffff
5156,1b0,58,19,8,ffffffff
5157,1b0,58,19,11,ffffffff
5157,1b0,88,19,16,ffffffff
5157,1b0,88,19,17,ffffffff
5157,1b0,88,19,18,ffffffff
5158,1b0,58,19,14,ffffffff
5158,1b0,58,19,13,ffffffff
5158,1b0,58,19,15,ffffffff
5158,1b0,88,19,20,ffffffff
5159,1b0,58,19,12,ffffffff
5159,1b0,88,19,21,ffffffff
5159,1b0,88,19,22,ffffffff
5159,1b0,88,19,19,ffffffff
5160,1b0,118,19,24,ffffffff
5160,1b0,88,19,23,ffffffff
