cycle,pc,cta_id,cluster_id,warp_id,tid
5005,178,18,9,1,ffffffff
5006,178,18,9,2,ffffffff
5007,178,18,9,0,ffffffff
5008,178,18,9,6,ffffffff
5009,178,18,9,3,ffffffff
5010,178,18,9,4,ffffffff
5011,178,18,9,5,ffffffff
5012,178,18,9,7,ffffffff
5013,178,48,9,9,ffffffff
5014,178,48,9,10,ffffffff
5015,178,48,9,12,ffffffff
5016,178,78,9,17,ffffffff
5017,178,78,9,18,ffffffff
5018,178,48,9,15,ffffffff
5019,178,78,9,16,ffffffff
5020,178,78,9,21,ffffffff
5021,178,78,9,22,ffffffff
5022,178,78,9,19,ffffffff
5023,178,78,9,20,ffffffff
5024,178,108,9,25,ffffffff
5025,178,108,9,26,ffffffff
5026,178,78,9,23,ffffffff
5027,178,108,9,24,ffffffff
5028,178,108,9,29,ffffffff
5029,178,108,9,30,ffffffff
5030,178,108,9,27,ffffffff
5031,178,108,9,28,ffffffff
5032,180,18,9,1,ffffffff
5033,180,18,9,2,ffffffff
5034,178,108,9,31,ffffffff
5035,180,18,9,0,ffffffff
5036,180,18,9,5,ffffffff
5037,180,18,9,6,ffffffff
5038,180,18,9,3,ffffffff
5039,180,18,9,4,ffffffff
5040,180,48,9,9,ffffffff
5041,180,48,9,10,ffffffff
5042,180,18,9,7,ffffffff
5043,180,48,9,8,ffffffff
5044,180,48,9,13,ffffffff
5045,180,48,9,14,ffffffff
5046,180,48,9,11,ffffffff
5047,180,48,9,12,ffffffff
5048,180,78,9,17,ffffffff
5049,180,78,9,18,ffffffff
5050,180,48,9,15,ffffffff
5051,180,78,9,16,ffffffff
5052,180,78,9,21,ffffffff
5053,180,78,9,22,ffffffff
5054,180,78,9,19,ffffffff
5055,180,78,9,20,ffffffff
5056,180,108,9,25,ffffffff
5057,180,108,9,26,ffffffff
5058,180,78,9,23,ffffffff
5059,180,108,9,24,ffffffff
5060,180,108,9,29,ffffffff
5061,180,108,9,30,ffffffff
5062,180,108,9,27,ffffffff
5063,180,108,9,28,ffffffff
5064,188,18,9,1,ffffffff
5065,188,18,9,2,ffffffff
5066,180,108,9,31,ffffffff
5067,188,18,9,0,ffffffff
5068,188,18,9,5,ffffffff
5069,188,18,9,6,ffffffff
5070,188,18,9,3,ffffffff
5071,188,18,9,4,ffffffff
5072,188,48,9,9,ffffffff
5073,188,48,9,10,ffffffff
5074,188,18,9,7,ffffffff
5075,188,48,9,8,ffffffff
5076,188,48,9,13,ffffffff
5077,188,48,9,14,ffffffff
5078,188,48,9,11,ffffffff
5079,188,48,9,12,ffffffff
5080,188,78,9,17,ffffffff
5081,188,78,9,18,ffffffff
5082,188,48,9,15,ffffffff
5083,188,78,9,16,ffffffff
5084,188,78,9,21,ffffffff
5085,188,78,9,22,ffffffff
5086,188,78,9,19,ffffffff
5087,188,78,9,20,ffffffff
5088,188,108,9,25,ffffffff
5089,188,108,9,26,ffffffff
5090,188,78,9,23,ffffffff
5091,188,108,9,24,ffffffff
5092,188,108,9,29,ffffffff
5093,188,108,9,30,ffffffff
5094,188,108,9,27,ffffffff
5095,188,108,9,28,ffffffff
5096,190,18,9,1,ffffffff
5097,190,18,9,2,ffffffff
5098,188,108,9,31,ffffffff
5099,190,18,9,0,ffffffff
5100,190,18,9,5,ffffffff
5101,190,18,9,6,ffffffff
5102,190,18,9,3,ffffffff
5103,190,18,9,4,ffffffff
5104,190,48,9,9,ffffffff
5105,190,48,9,10,ffffffff
5106,190,18,9,7,ffffffff
5107,190,48,9,8,ffffffff
5108,190,48,9,13,ffffffff
5109,190,48,9,14,ffffffff
5110,190,48,9,11,ffffffff
5111,190,48,9,12,ffffffff
5112,190,78,9,17,ffffffff
5113,190,78,9,18,ffffffff
5114,190,48,9,15,ffffffff
5115,190,78,9,16,ffffffff
5116,190,78,9,21,ffffffff
5117,190,78,9,22,ffffffff
5118,190,78,9,19,ffffffff
5119,190,78,9,20,ffffffff
5120,190,108,9,25,ffffffff
5121,190,108,9,26,ffffffff
5122,190,78,9,23,ffffffff
5123,190,108,9,24,ffffffff
5124,198,18,9,1,ffffffff
5124,190,108,9,29,ffffffff
5125,198,18,9,2,ffffffff
5125,178,48,9,13,ffffffff
5126,190,108,9,30,ffffffff
5127,198,18,9,0,ffffffff
5127,178,48,9,14,ffffffff
