cycle,pc,cta_id,cluster_id,warp_id,tid
5005,178,4,22,2,ffffffff
5006,178,4,22,0,ffffffff
5007,178,4,22,1,ffffffff
5008,178,4,22,3,ffffffff
5009,178,4,22,4,ffffffff
5010,178,4,22,5,ffffffff
5011,178,4,22,6,ffffffff
5012,178,34,22,8,ffffffff
5013,178,34,22,10,ffffffff
5014,178,4,22,7,ffffffff
5015,178,34,22,13,ffffffff
5016,178,64,22,18,ffffffff
5017,178,34,22,15,ffffffff
5018,178,64,22,16,ffffffff
5019,178,64,22,17,ffffffff
5020,178,64,22,22,ffffffff
5021,178,64,22,19,ffffffff
5022,178,64,22,20,ffffffff
5023,178,64,22,21,ffffffff
5024,178,94,22,26,ffffffff
5025,178,64,22,23,ffffffff
5026,178,94,22,24,ffffffff
5027,178,94,22,25,ffffffff
5028,178,94,22,30,ffffffff
5029,178,94,22,27,ffffffff
5030,178,94,22,28,ffffffff
5031,178,94,22,29,ffffffff
5032,180,4,22,2,ffffffff
5033,178,94,22,31,ffffffff
5034,180,4,22,0,ffffffff
5035,180,4,22,1,ffffffff
5036,180,4,22,6,ffffffff
5037,180,4,22,3,ffffffff
5038,180,4,22,4,ffffffff
5039,180,4,22,5,ffffffff
5040,180,34,22,10,ffffffff
5041,180,4,22,7,ffffffff
5042,180,34,22,8,ffffffff
5043,180,34,22,9,ffffffff
5044,180,34,22,14,ffffffff
5045,180,34,22,11,ffffffff
5046,180,34,22,12,ffffffff
5047,180,34,22,13,ffffffff
5048,180,64,22,18,ffffffff
5049,180,34,22,15,ffffffff
5050,180,64,22,16,ffffffff
5051,180,64,22,17,ffffffff
5052,180,64,22,22,ffffffff
5053,180,64,22,19,ffffffff
5054,180,64,22,20,ffffffff
5055,180,64,22,21,ffffffff
5056,180,94,22,26,ffffffff
5057,180,64,22,23,ffffffff
5058,180,94,22,24,ffffffff
5059,180,94,22,25,ffffffff
5060,180,94,22,30,ffffffff
5061,180,94,22,27,ffffffff
5062,180,94,22,28,ffffffff
5063,180,94,22,29,ffffffff
5064,188,4,22,2,ffffffff
5065,180,94,22,31,ffffffff
5066,188,4,22,0,ffffffff
5067,188,4,22,1,ffffffff
5068,188,4,22,6,ffffffff
5069,188,4,22,3,ffffffff
5070,188,4,22,4,ffffffff
5071,188,4,22,5,ffffffff
5072,188,34,22,10,ffffffff
5073,188,4,22,7,ffffffff
5074,188,34,22,8,ffffffff
5075,188,34,22,9,ffffffff
5076,188,34,22,14,ffffffff
5077,188,34,22,11,ffffffff
5078,188,34,22,12,ffffffff
5079,188,34,22,13,ffffffff
5080,188,64,22,18,ffffffff
5081,188,34,22,15,ffffffff
5082,188,64,22,16,ffffffff
5083,188,64,22,17,ffffffff
5084,188,64,22,22,ffffffff
5085,188,64,22,19,ffffffff
5086,188,64,22,20,ffffffff
5087,188,64,22,21,ffffffff
5088,188,94,22,26,ffffffff
5089,188,64,22,23,ffffffff
5090,188,94,22,24,ffffffff
5091,188,94,22,25,ffffffff
5092,188,94,22,30,ffffffff
5093,188,94,22,27,ffffffff
5094,188,94,22,28,ffffffff
5095,188,94,22,29,ffffffff
5096,190,4,22,2,ffffffff
5097,188,94,22,31,ffffffff
5098,190,4,22,0,ffffffff
5099,190,4,22,1,ffffffff
5100,190,4,22,6,ffffffff
5101,190,4,22,3,ffffffff
5102,190,4,22,4,ffffffff
5103,190,4,22,5,ffffffff
5104,190,34,22,10,ffffffff
5105,190,4,22,7,ffffffff
5106,190,34,22,8,ffffffff
5107,190,34,22,9,ffffffff
5108,190,34,22,14,ffffffff
5109,190,34,22,11,ffffffff
5110,190,34,22,12,ffffffff
5111,190,34,22,13,ffffffff
5112,190,64,22,18,ffffffff
5113,190,34,22,15,ffffffff
5114,190,64,22,16,ffffffff
5115,190,64,22,17,ffffffff
5116,190,64,22,22,ffffffff
5117,190,64,22,19,ffffffff
5118,190,64,22,20,ffffffff
5119,190,64,22,21,ffffffff
5120,190,94,22,26,ffffffff
5121,190,64,22,23,ffffffff
5122,190,94,22,24,ffffffff
5123,190,94,22,25,ffffffff
5124,198,4,22,2,ffffffff
5124,190,94,22,30,ffffffff
5125,178,34,22,14,ffffffff
5126,198,4,22,0,ffffffff
5126,190,94,22,27,ffffffff
5127,198,4,22,1,ffffffff
5127,190,94,22,28,ffffffff
5128,178,34,22,12,ffffffff
5129,1a0,4,22,2,ffffffff
5129,1a0,4,22,0,ffffffff
5129,1a0,4,22,1,ffffffff
5129,190,94,22,29,ffffffff
5130,198,4,22,3,ffffffff
5130,178,34,22,9,ffffffff
5131,198,4,22,5,ffffffff
5131,198,4,22,6,ffffffff
5131,1a0,4,22,3,ffffffff
5131,198,4,22,4,ffffffff
5131,190,94,22,31,ffffffff
5132,198,34,22,10,ffffffff
