Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
16000000,0.2191,0.065854,0.000377,0.000034,0.041115
16001000,0.2191,0.065854,0.000377,0.000034,0.041035
16002000,0.2191,0.065854,0.000377,0.000034,0.041187
16003000,0.2191,0.065854,0.000377,0.000034,0.041115
16004000,0.2191,0.065854,0.000377,0.000034,0.041115
16005000,0.2191,0.065854,0.000377,0.000034,0.041187
16006000,0.2191,0.065854,0.000377,0.000034,0.042031
16007000,0.2191,0.065854,0.000377,0.000034,0.041959
16008000,0.2191,0.065854,0.000377,0.000034,0.042031
16009000,0.2191,0.065854,0.000377,0.000034,0.041959
16010000,0.2191,0.065854,0.000377,0.000034,0.041959
16011000,0.2191,0.065854,0.000377,0.000034,0.041951
16012000,0.2191,0.065854,0.000377,0.000034,0.041453
16013000,0.2191,0.065854,0.000377,0.000034,0.041115
16014000,0.2191,0.065854,0.000377,0.000034,0.041115
16015000,0.2191,0.065854,0.000377,0.000034,0.041187
16016000,0.2191,0.065854,0.000377,0.000034,0.041115
16017000,0.2191,0.065854,0.000377,0.000034,0.041115
16018000,0.2191,0.065854,0.000377,0.000034,0.046584
16019000,0.2191,0.065854,0.000377,0.000034,0.041115
16020000,0.2191,0.065854,0.000377,0.000034,0.041035
16021000,0.2191,0.065854,0.000377,0.000034,0.041187
16022000,0.2191,0.065854,0.000377,0.000034,0.041115
16023000,0.2191,0.065854,0.000377,0.000034,0.041115
16024000,0.2191,0.065854,0.000377,0.000034,0.044577
16025000,0.2191,0.065854,0.000377,0.000034,0.048439
16026000,0.2191,0.065854,0.000377,0.000034,0.041115
16027000,0.2191,0.065854,0.000377,0.000034,0.041115
16028000,0.2191,0.065854,0.000377,0.000034,0.051642
16029000,0.2191,0.065854,0.000377,0.000034,0.041035
16030000,0.2191,0.065854,0.000377,0.000034,0.041115
16031000,0.2191,0.065854,0.000377,0.000034,0.046512
16032000,0.2191,0.065854,0.000377,0.000034,0.041115
16033000,0.2191,0.065854,0.000377,0.000034,0.041115
16034000,0.2191,0.065854,0.000377,0.000034,0.041115
16035000,0.2191,0.065854,0.000377,0.000034,0.041115
16036000,0.2191,0.065854,0.000377,0.000034,0.041115
16037000,0.2191,0.065854,0.000377,0.000034,0.049069
16038000,0.2191,0.065854,0.000377,0.000034,0.041115
16039000,0.2191,0.065854,0.000377,0.000034,0.041790
16040000,0.2191,0.065854,0.000377,0.000034,0.041959
16041000,0.2191,0.065854,0.000377,0.000034,0.041959
