Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,15.7031,5.502199,0.052647,0.006391,0.551021
2000100,15.7031,5.502199,0.052647,0.006391,0.550220
2000200,15.7031,5.502199,0.052647,0.006391,0.551021
2000300,15.7031,5.502199,0.052647,0.006391,0.550220
2000400,15.7031,5.502199,0.052647,0.006391,0.550220
2000500,15.7031,5.502199,0.052647,0.006391,0.551659
2000600,15.7031,5.502199,0.052647,0.006391,0.551659
2000700,15.7031,5.502199,0.052647,0.006391,0.550940
2000800,15.7031,5.502199,0.052647,0.006391,0.552379
2000900,15.7031,5.502199,0.052647,0.006391,0.551659
2001000,15.7031,5.502199,0.052647,0.006391,0.551659
2001100,15.7031,5.502199,0.052647,0.006391,0.551659
2001200,15.7031,5.502199,0.052647,0.006391,0.551659
2001300,15.7031,5.502199,0.052647,0.006391,0.551659
2001400,15.7031,5.502199,0.052647,0.006391,0.551659
2001500,15.7031,5.502199,0.052647,0.006391,0.551021
2001600,15.7031,5.502199,0.052647,0.006391,0.550220
2001700,15.7031,5.502199,0.052647,0.006391,0.550220
2001800,15.7031,5.502199,0.052647,0.006391,0.579088
2001900,15.7031,5.502199,0.052647,0.006391,0.551659
2002000,15.7031,5.502199,0.052647,0.006391,0.551659
2002100,15.7031,5.502199,0.052647,0.006391,0.551659
2002200,15.7031,5.502199,0.052647,0.006391,0.551659
2002300,15.7031,5.502199,0.052647,0.006391,0.551659
2002400,15.7031,5.502199,0.052647,0.006391,0.551659
2002500,15.7031,5.502199,0.052647,0.006391,0.551659
2002600,15.7031,5.502199,0.052647,0.006391,0.551021
2002700,15.7031,5.502199,0.052647,0.006391,0.550220
2002800,15.7031,5.502199,0.052647,0.006391,0.550940
2002900,15.7031,5.502199,0.052647,0.006391,0.551021
2003000,15.7031,5.502199,0.052647,0.006391,0.550220
2003100,15.7031,5.502199,0.052647,0.006391,0.551021
2003200,15.7031,5.502199,0.052647,0.006391,0.550220
2003300,15.7031,5.502199,0.052647,0.006391,0.550220
2003400,15.7031,5.502199,0.052647,0.006391,0.551659
2003500,15.7031,5.502199,0.052647,0.006391,0.551659
2003600,15.7031,5.502199,0.052647,0.006391,0.551659
2003700,15.7031,5.502199,0.052647,0.006391,0.551659
2003800,15.7031,5.502199,0.052647,0.006391,0.551659
2003900,15.7031,5.502199,0.052647,0.006391,0.551659
2004000,15.7031,5.502199,0.052647,0.006391,0.551659
2004100,15.7031,5.502199,0.052647,0.006391,0.551659
2004200,15.7031,5.502199,0.052647,0.006391,0.551659
2004300,15.7031,5.502199,0.052647,0.006391,0.551659
2004400,15.7031,5.502199,0.052647,0.006391,0.551021
2004500,15.7031,5.502199,0.052647,0.006391,0.550220
2004600,15.7031,5.502199,0.052647,0.006391,0.550220
2004700,15.7031,5.502199,0.052647,0.006391,0.579088
2004800,15.7031,5.502199,0.052647,0.006391,0.551659
2004900,15.7031,5.502199,0.052647,0.006391,0.551659
2005000,15.7031,5.502199,0.052647,0.006391,0.551659
2005100,15.7031,5.502199,0.052647,0.006391,0.551659
2005200,15.7031,5.502199,0.052647,0.006391,0.551659
2005300,15.7031,5.502199,0.052647,0.006391,0.551659
2005400,15.7031,5.502199,0.052647,0.006391,0.551659
2005500,15.7031,5.502199,0.052647,0.006391,0.551021
2005600,15.7031,5.502199,0.052647,0.006391,0.550220
2005700,15.7031,5.502199,0.052647,0.006391,0.550940
2005800,15.7031,5.502199,0.052647,0.006391,0.551021
2005900,15.7031,5.502199,0.052647,0.006391,0.550220
2006000,15.7031,5.502199,0.052647,0.006391,0.551021
2006100,15.7031,5.502199,0.052647,0.006391,0.550220
2006200,15.7031,5.502199,0.052647,0.006391,0.550220
2006300,15.7031,5.502199,0.052647,0.006391,0.551659
2006400,15.7031,5.502199,0.052647,0.006391,0.551659
2006500,15.7031,5.502199,0.052647,0.006391,0.551659
2006600,15.7031,5.502199,0.052647,0.006391,0.551659
2006700,15.7031,5.502199,0.052647,0.006391,0.551659
2006800,15.7031,5.502199,0.052647,0.006391,0.551659
2006900,15.7031,5.502199,0.052647,0.006391,0.551659
2007000,15.7031,5.502199,0.052647,0.006391,0.551659
2007100,15.7031,5.502199,0.052647,0.006391,0.552379
2007200,15.7031,5.502199,0.052647,0.006391,0.551741
2007300,15.7031,5.502199,0.052647,0.006391,0.550220
2007400,15.7031,5.502199,0.052647,0.006391,0.550220
2007500,15.7031,5.502199,0.052647,0.006391,0.578369
2007600,15.7031,5.502199,0.052647,0.006391,0.550940
2007700,15.7031,5.502199,0.052647,0.006391,0.551659
2007800,15.7031,5.502199,0.052647,0.006391,0.551659
2007900,15.7031,5.502199,0.052647,0.006391,0.551659
2008000,15.7031,5.502199,0.052647,0.006391,0.551659
2008100,15.7031,5.502199,0.052647,0.006391,0.551659
2008200,15.7031,5.502199,0.052647,0.006391,0.551659
2008300,15.7031,5.502199,0.052647,0.006391,0.551659
2008400,15.7031,5.502199,0.052647,0.006391,0.551021
2008500,15.7031,5.502199,0.052647,0.006391,0.550220
2008600,15.7031,5.502199,0.052647,0.006391,0.551741
2008700,15.7031,5.502199,0.052647,0.006391,0.550220
2008800,15.7031,5.502199,0.052647,0.006391,0.550220
2008900,15.7031,5.502199,0.052647,0.006391,0.551021
2009000,15.7031,5.502199,0.052647,0.006391,0.550220
