Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,23.8212,1.028147,0.538949,0.086720,8.483750
2000,23.8212,1.028147,0.538949,0.086720,8.483750
3000,23.8212,1.028147,0.538949,0.086720,8.483750
4000,23.8212,1.028147,0.538949,0.086720,8.483750
5000,23.8212,1.028147,0.538949,0.086720,8.483750
6000,23.8212,1.028147,0.538949,0.086720,22.656439
7000,23.8212,1.028147,0.538949,0.086720,9.424225
8000,23.8212,1.028147,0.538949,0.086720,9.630674
9000,23.8212,1.028147,0.538949,0.086720,4.482376
10000,23.8212,1.028147,0.538949,0.086720,3.265410
11000,23.8212,1.028147,0.538949,0.086720,3.320630
12000,23.8212,1.028147,0.538949,0.086720,4.452803
13000,23.8212,1.028147,0.538949,0.086720,6.326626
14000,23.8212,1.028147,0.538949,0.086720,9.590323
15000,23.8212,1.028147,0.538949,0.086720,12.480535
16000,23.8212,1.028147,0.538949,0.086720,15.150014
17000,23.8212,1.028147,0.538949,0.086720,15.433015
18000,23.8212,1.028147,0.538949,0.086720,13.030474
19000,23.8212,1.028147,0.538949,0.086720,12.476321
20000,23.8212,1.028147,0.538949,0.086720,12.872907
21000,23.8212,1.028147,0.538949,0.086720,13.306815
22000,23.8212,1.028147,0.538949,0.086720,13.126880
23000,23.8212,1.028147,0.538949,0.086720,13.164880
24000,23.8212,1.028147,0.538949,0.086720,13.378151
25000,23.8212,1.028147,0.538949,0.086720,14.425792
26000,23.8212,1.028147,0.538949,0.086720,14.047757
27000,23.8212,1.028147,0.538949,0.086720,14.110219
28000,23.8212,1.028147,0.538949,0.086720,13.722045
29000,23.8212,1.028147,0.538949,0.086720,13.324240
30000,23.8212,1.028147,0.538949,0.086720,12.821247
31000,23.8212,1.028147,0.538949,0.086720,11.842694
32000,23.8212,1.028147,0.538949,0.086720,11.054904
33000,23.8212,1.028147,0.538949,0.086720,10.356135
34000,23.8212,1.028147,0.538949,0.086720,9.652905
35000,23.8212,1.028147,0.538949,0.086720,9.208446
36000,23.8212,1.028147,0.538949,0.086720,8.725576
37000,23.8212,1.028147,0.538949,0.086720,8.312494
38000,23.8212,1.028147,0.538949,0.086720,8.132944
39000,23.8212,1.028147,0.538949,0.086720,7.887505
40000,23.8212,1.028147,0.538949,0.086720,7.284547
41000,23.8212,1.028147,0.538949,0.086720,6.881342
42000,23.8212,1.028147,0.538949,0.086720,6.803593
43000,23.8212,1.028147,0.538949,0.086720,7.468920
